,collocate,raw_frequency,MI
0,GEORGE,1,6.86469678237834
1,FOREIGNERS,1,8.47413469481244
2,DECKER,1,8.47413469481244
3,CHESTED,1,7.780987514252495
4,MATCH,1,5.106838864825966
5,TRANSFIXED,1,7.375522406144331
6,ROYAL,1,4.863216782168216
7,EMPEROR,1,5.640921350756225
8,SCARCE,1,5.701545972572659
9,OBSERVING,1,5.529695715646
10,KIDNAPPED,1,7.08784033369255
11,SHOOT,1,6.07623942201407
12,TIS,1,5.1419301846372365
13,JUNIORS,1,8.47413469481244
14,JOHN,1,4.689945060894179
15,AVASON,1,8.47413469481244
16,CONSPIRACY,1,8.47413469481244
17,SERIOUS,1,4.562111689384294
18,WEST,1,5.216038156790958
19,FLANNEL,1,7.375522406144331
20,VOWS,1,6.682375225584385
21,COLONEL,1,6.86469678237834
22,JACK,1,5.76608449371023
23,SLIPPED,1,5.529695715646
24,TREMBLING,1,4.863216782168216
25,FANNY,1,4.689945060894179
26,PA,1,6.682375225584385
27,ACCOUNTS,1,6.171549601818395
28,RELATED,1,5.701545972572659
29,VERACITY,1,7.375522406144331
30,CURTIS,1,5.76608449371023
31,INHERITANCE,1,6.394693153132605
32,SCHOLAR,1,5.583762936916275
33,WILTSHIRE,1,6.86469678237834
34,REQUEST,1,4.863216782168216
35,BEHAVED,1,6.171549601818395
36,TEMPTATIONS,1,7.375522406144331
37,INNS,1,6.86469678237834
38,PUNCH,1,6.86469678237834
39,BOWL,1,6.171549601818395
40,LOCAL,1,5.701545972572659
41,BEAUTIES,1,6.276910117476221
42,MOUNTED,1,5.1419301846372365
43,ALOFT,1,5.98922804502444
44,HEAVENS,1,4.836548535086055
45,BRUTAL,1,6.394693153132605
46,FLOWER,1,5.072937313150285
47,SHRED,1,7.375522406144331
48,TREATMENT,1,6.07623942201407
49,WILFUL,1,7.08784033369255
50,RESEMBLED,1,5.835077365197182
51,ZENITH,1,7.780987514252495
52,MIDST,1,4.836548535086055
53,STAINED,1,6.528224545757127
54,SOLID,1,5.76608449371023
55,BLOOMLESS,1,8.47413469481244
56,LOFTY,1,5.76608449371023
57,ARCH,1,5.76608449371023
58,DAWN,1,5.383092241454125
59,WAYSIDE,1,6.394693153132605
60,CORRECTLY,1,6.528224545757127
61,UNKNOWN,1,4.760562628108133
62,GLOVELETS,1,8.47413469481244
63,STEAMING,1,7.08784033369255
64,ATMOSPHERIC,1,8.47413469481244
65,GREYNESS,1,7.780987514252495
66,GERMAN,1,5.338640478883291
67,BREAKFAST,1,4.485150648248166
68,MORSEL,1,6.682375225584385
69,CLAIM,1,5.216038156790958
70,DISTRESS,1,5.583762936916275
71,BEAKS,1,8.47413469481244
72,ASHEN,1,8.47413469481244
73,SULPHUR,1,8.47413469481244
74,SHAFTS,1,6.682375225584385
75,BLOCKS,1,6.682375225584385
76,CURRENT,1,5.701545972572659
77,GIRLS,1,4.485150648248166
78,CHARMING,1,5.529695715646
79,GLACIER,1,7.375522406144331
80,LEAP,1,5.909185337350904
81,FOAM,1,6.276910117476221
82,KNIGHTLINESS,1,8.47413469481244
83,FLED,1,5.909185337350904
84,ABASHED,1,6.528224545757127
85,NURSES,1,6.394693153132605
86,STRAIGHTFORWARDLY,1,8.47413469481244
87,SANG,1,5.0401474903272945
88,MUSIC,1,3.9415352016591845
89,SISTERLY,1,6.86469678237834
90,INVENTIONS,1,7.375522406144331
91,DESTRUCTIVE,1,6.394693153132605
92,DECLINE,1,6.86469678237834
93,SLATE,1,6.276910117476221
