,name,ev_centrality,betweenness,degree
0,Donald Trump,0.25246971210860986,0.008228456604948359,32
1,Hillary Clinton,0.23855822532991064,0.006911183359293125,30
2,Ted Cruz,0.20229799000177162,0.0009051188280669019,21
3,Bernie Sanders,0.1444721395633981,0.0007510331402519618,14
4,John Kasich,0.12072711058521503,0.0,9
5,Clinton,0.4345724541362896,0.6855500614994652,152
6,Trump,0.2646216321779668,0.042239783541186814,41
7,Cruz,0.2428742762846512,0.054975512596772816,36
8,Hillary,0.15639524868888274,0.008460998583721447,19
9,Kasich,0.1273369726948921,0.0,11
10,Obama,0.16459574693350534,0.019372279723277125,18
11,George W. Bush,0.1068116619699798,0.012048841388602438,9
12,Bush,0.26275189580632496,0.07670625406483733,43
13,Reagan,0.09676967520955122,0.00014906180735326467,9
14,Condoleezza Rice,0.02379242640185191,0.0,1
15,Ronald Reagan,0.03828037098361861,0.0,2
16,Richard Nixon,0.02379242640185191,0.0,1
17,Nixon,0.025170584760312295,0.0,3
18,Maddow,0.02379242640185191,0.0,1
19,Bill Clinton,0.1100209715457306,0.00026534570618627276,11
20,Bill,0.06135392303107516,1.7403032478409362e-05,6
21,John McCain,0.07978590611568125,0.0,5
22,Barack Obama,0.10473186473313546,0.0004227340149374564,8
23,Jeb Bush,0.1644612367179858,0.0010643252533324955,16
24,McConnell,0.0077462471432975495,0.008958936094614487,5
25,Mitch McConnell,0.0004241036808040064,0.0,1
26,George H.W. Bush,0.03817800443667885,0.0,2
27,Rand Paul,0.06573357706861048,0.0,5
28,Paul Ryan,0.05699517314260103,0.0,4
29,Ryan,0.08935321801946525,0.0006416983689710964,11
30,Joe Biden,0.026665722095708853,0.0,2
31,Elizabeth Warren,0.036853443197261734,0.0,2
32,Marco Rubio,0.17959175884817688,0.0008683790928347044,18
33,Romney,0.13731871349383262,0.0010614046055207242,13
34,Hillary Rodham Clinton,0.03817800443667885,0.0,2
35,Mike Huckabee,0.027682880378793795,0.0,2
36,Biden,0.02379242640185191,0.0,1
37,Newt Gingrich,0.02379242640185191,0.0,1
38,John Boehner,0.04253233717154858,3.806913354652048e-05,5
39,Warren,0.025170584760312295,0.0,3
40,Boehner,0.05247930345723808,0.007922005409442597,10
41,Sanders,0.02379242640185191,0.0,1
42,Hillary Clinton's,0.036853443197261734,0.0,2
43,Donald Trump's,0.03828037098361861,0.0,2
44,Mateen,2.438684889984568e-20,0.0,2
45,Paul,0.08083245319119062,0.01001870825991429,9
46,Perry,2.438684889984568e-20,0.0,2
47,Stevens,0.04569624281817131,0.0,3
48,Graham,2.438684889984568e-20,0.0,2
49,Ben Carson,0.12852605196107794,5.639871636521552e-06,10
50,Carson,0.12250188271539841,0.0,11
51,Jeb,0.082902893258199,1.7624598864129852e-05,9
52,Chris Christie,0.12275963381604635,0.0,9
53,Johnson,0.08083184273801254,0.009357111032152907,10
54,Lewandowski,0.0144879445817667,0.0,1
55,Christie,0.051475306780645706,0.0,3
56,Brown,7.208225193746427e-17,5.0758844728693974e-05,4
57,Ferguson,3.6041125968732134e-17,0.0,1
58,Wilson,3.6041125968732134e-17,0.0,1
59,Debbie Wasserman Schultz,0.02379242640185191,0.0,1
60,Wasserman Schultz,0.025170584760312295,0.0,3
61,Carly Fiorina,0.049569203602768265,0.0,4
62,Fiorina,0.14728107030601512,0.0015730426001478233,14
